"PRIMARY VESSEL","PRIMARY IMO","PRIMARY DWT (t)","PRIMARY CAPACITY (cbm)","PRIMARY CLASS","VOYAGE TYPE","STATUS","CHARTERER","SECONDARY VESSEL","SECONDARY DWT (t)","SECONDARY CAPACITY (cbm)","SECONDARY CLASS","SECONDARY ROLE","ORIGIN TERMINAL","ORIGIN PORT","ORIGIN COUNTRY","ORIGIN TRADING REGION","ORIGIN LOADED","ORIGIN LOADED WEEK","ORIGIN LOADED MONTH","PRODUCT GROUP","PRODUCT CATEGORY","PRODUCT GRADE","QUANTITY (bbl)","DESTINATION TERMINAL","DESTINATION PORT","DESTINATION COUNTRY","DESTINATION TRADING REGION","DESTINATION DISCHARGED","DESTINATION DISCHARGED WEEK","DESTINATION DISCHARGED MONTH",
"FURE VEN","9818278","16300","19162","General Purpose","Single","Discharged","",,,,,,"Sodevika","Mandal [NO]","Norway","North West Europe (excl. ARA)","11 Oct 2019","07 Oct 2019","Oct 19","Clean products","Jet/Kero","Kerosene","10834","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","15 Oct 2019","14 Oct 2019","Oct 19",
"NEPTUNUS","9410519","6954","8080","Tiny Tanker","Single","Discharged","",,,,,,"Preemraff Lysekil (Ex Scanraff)","Brofjorden [SE]","Sweden","North West Europe (excl. ARA)","10 Sep 2019","09 Sep 2019","Sep 19","Clean products","Diesel/Gasoil","ULSD (Ultra Low Sulphur Diesel)","20886","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","14 Sep 2019","09 Sep 2019","Sep 19",
"TERN OCEAN","9747986","14827","16500","General Purpose","Single","Discharged","",,,,,,"Preemraff Lysekil (Ex Scanraff)","Brofjorden [SE]","Sweden","North West Europe (excl. ARA)","12 Aug 2019","12 Aug 2019","Aug 19","Clean products","Diesel/Gasoil","ULSD (Ultra Low Sulphur Diesel)","44237","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","18 Aug 2019","12 Aug 2019","Aug 19",
"TARNBRIS","9372652","11289","12470","General Purpose","Single","Discharged","",,,,,,,"Arendal [NO]","Norway","North West Europe (excl. ARA)","21 Jun 2019","17 Jun 2019","Jun 19","Clean products","Diesel/Gasoil","Diesel","10651","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","25 Jun 2019","24 Jun 2019","Jun 19",
"TARNBRIS","9372652","11289","12470","General Purpose","Single","Discharged","",,,,,,"Preemraff Lysekil (Ex Scanraff)","Brofjorden [SE]","Sweden","North West Europe (excl. ARA)","20 Jun 2019","17 Jun 2019","Jun 19","Clean products","Diesel/Gasoil","ULSD","10651","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","25 Jun 2019","24 Jun 2019","Jun 19",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","23 May 2019","20 May 2019","May 19","Clean products","Jet/Kero","Kerosene","27635","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","29 May 2019","27 May 2019","May 19",
"TERN OCEAN","9747986","14827","16500","General Purpose","Single","Discharged","",,,,,,"Preemraff Lysekil (Ex Scanraff)","Brofjorden [SE]","Sweden","North West Europe (excl. ARA)","01 Mar 2019","25 Feb 2019","Mar 19","Clean products","Diesel/Gasoil","ULSD (Ultra Low Sulphur Diesel)","35126","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","08 Mar 2019","04 Mar 2019","Mar 19",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","10 Oct 2018","08 Oct 2018","Oct 18","Clean products","Other Clean products","Chemicals","36989","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","17 Oct 2018","15 Oct 2018","Oct 18",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","13 Aug 2018","13 Aug 2018","Aug 18","Clean products","Other Clean products","Chemicals","20384","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","18 Aug 2018","13 Aug 2018","Aug 18",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","22 Jun 2018","18 Jun 2018","Jun 18","Clean products","Other Clean products","Chemicals","14006","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","26 Jun 2018","25 Jun 2018","Jun 18",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","20 Apr 2018","16 Apr 2018","Apr 18","Clean products","Jet/Kero","Kerosene","11235","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","24 Apr 2018","23 Apr 2018","Apr 18",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Bunker Oil Nor","Tromso [NO]","Norway","North West Europe (excl. ARA)","15 Apr 2018","09 Apr 2018","Apr 18","Clean products","Jet/Kero","Kerosene","7822","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","24 Apr 2018","23 Apr 2018","Apr 18",
"OLYMPUS","9310355","9189","10637","Tiny Tanker","Single","Discharged","",,,,,,"Slagen Oil Terminal - Esso Norge","Slagen [NO]","Norway","North West Europe (excl. ARA)","26 Jan 2018","22 Jan 2018","Jan 18","Clean products","Other Clean products","Chemicals","10833","Statoil And Norcem (Ex Natokaia)","Alta [NO]","Norway","North West Europe (excl. ARA)","31 Jan 2018","29 Jan 2018","Jan 18",
